event_id;match_id;event_type_id;minute;second;team_id;player_id;related_player_id;value;notes;external_id;event_type_code;event_type_name;player_first_name;player_last_name;related_player_first_name;related_player_last_name;event_team_name;relation_to_selected_team
4205;191;3;5;0;15;1004;;source:liveticker | 0:0;Gelbe Karte : Diant Ramaj;;YELLOW_CARD;Gelbe Karte;Diant;Ramaj;;;1. FC Heidenheim 1846;own
4204;191;1;20;0;32;1033;;source:liveticker | 0:1;Tor : Andreas Skov Olsen;;GOAL;Tor;Andreas Skov;Olsen;;;VfL Wolfsburg;opponent
4203;191;1;29;0;15;1010;;source:liveticker | 1:1;Tor : Leonardo Weschenfelder Scienza;;GOAL;Tor;Leonardo;Weschenfelder Scienza;;;1. FC Heidenheim 1846;own
4202;191;3;37;0;32;1033;;source:liveticker | 1:1;Gelbe Karte : Andreas Skov Olsen;;YELLOW_CARD;Gelbe Karte;Andreas Skov;Olsen;;;VfL Wolfsburg;opponent
4201;191;3;41;0;32;1024;;source:liveticker | 1:1;Gelbe Karte : Moritz Jenz;;YELLOW_CARD;Gelbe Karte;Moritz;Jenz;;;VfL Wolfsburg;opponent
4200;191;3;42;0;32;1027;;source:liveticker | 1:1;Gelbe Karte : Maximilian Arnold;;YELLOW_CARD;Gelbe Karte;Maximilian;Arnold;;;VfL Wolfsburg;opponent
4198;191;7;61;0;15;1045;1047;substitution_out | source:liveticker;Wechsel : Omar Haktab Traoré => Jonas Föhrenbach;;SUBSTITUTION_OUT;Auswechslung;Jonas;Föhrenbach;Omar Haktab;Traoré;1. FC Heidenheim 1846;own
4199;191;6;61;0;15;1047;1045;substitution_in | source:liveticker;Wechsel : Omar Haktab Traoré => Jonas Föhrenbach;;SUBSTITUTION_IN;Einwechslung;Omar Haktab;Traoré;Jonas;Föhrenbach;1. FC Heidenheim 1846;own
4196;191;7;62;0;15;1014;1018;substitution_out | source:liveticker;Wechsel : Luca Kerber => Niklas Dorsch;;SUBSTITUTION_OUT;Auswechslung;Niklas;Dorsch;Luca;Kerber;1. FC Heidenheim 1846;own
4197;191;6;62;0;15;1018;1014;substitution_in | source:liveticker;Wechsel : Luca Kerber => Niklas Dorsch;;SUBSTITUTION_IN;Einwechslung;Luca;Kerber;Niklas;Dorsch;1. FC Heidenheim 1846;own
4192;191;7;64;0;32;1034;1042;substitution_out | source:liveticker;Wechsel : Mattias Svanberg => Lovro Majer;;SUBSTITUTION_OUT;Auswechslung;Lovro;Majer;Mattias;Svanberg;VfL Wolfsburg;opponent
4193;191;6;64;0;32;1042;1034;substitution_in | source:liveticker;Wechsel : Mattias Svanberg => Lovro Majer;;SUBSTITUTION_IN;Einwechslung;Mattias;Svanberg;Lovro;Majer;VfL Wolfsburg;opponent
4194;191;7;64;0;32;1025;1037;substitution_out | source:liveticker;Wechsel : Mohammed-Elamine Amoura => Dzenan Pejcinovic;;SUBSTITUTION_OUT;Auswechslung;Dzenan;Pejcinovic;Mohammed-Elamine;Amoura;VfL Wolfsburg;opponent
4195;191;6;64;0;32;1037;1025;substitution_in | source:liveticker;Wechsel : Mohammed-Elamine Amoura => Dzenan Pejcinovic;;SUBSTITUTION_IN;Einwechslung;Mohammed-Elamine;Amoura;Dzenan;Pejcinovic;VfL Wolfsburg;opponent
4191;191;1;67;0;32;1042;;source:liveticker | 1:2;Tor : Mattias Svanberg;;GOAL;Tor;Mattias;Svanberg;;;VfL Wolfsburg;opponent
4187;191;7;71;0;15;1013;1017;substitution_out | source:liveticker;Wechsel : Mathias Honsak => Arijon Ibrahimovic;;SUBSTITUTION_OUT;Auswechslung;Arijon;Ibrahimovic;Mathias;Honsak;1. FC Heidenheim 1846;own
4188;191;6;71;0;15;1017;1013;substitution_in | source:liveticker;Wechsel : Mathias Honsak => Arijon Ibrahimovic;;SUBSTITUTION_IN;Einwechslung;Mathias;Honsak;Arijon;Ibrahimovic;1. FC Heidenheim 1846;own
4189;191;7;71;0;15;1011;1022;substitution_out | source:liveticker;Wechsel : Mikkel Kaufmann => Budu Zivzivadze;;SUBSTITUTION_OUT;Auswechslung;Budu;Zivzivadze;Mikkel;Kaufmann;1. FC Heidenheim 1846;own
4190;191;6;71;0;15;1022;1011;substitution_in | source:liveticker;Wechsel : Mikkel Kaufmann => Budu Zivzivadze;;SUBSTITUTION_IN;Einwechslung;Mikkel;Kaufmann;Budu;Zivzivadze;1. FC Heidenheim 1846;own
4185;191;7;78;0;15;1007;1019;substitution_out | source:liveticker;Wechsel : Adrian Beck => Tim Siersleben;;SUBSTITUTION_OUT;Auswechslung;Tim;Siersleben;Adrian;Beck;1. FC Heidenheim 1846;own
4186;191;6;78;0;15;1019;1007;substitution_in | source:liveticker;Wechsel : Adrian Beck => Tim Siersleben;;SUBSTITUTION_IN;Einwechslung;Adrian;Beck;Tim;Siersleben;1. FC Heidenheim 1846;own
4184;191;8;87;0;32;1037;;source:liveticker | 1:3;Strafstoß-Tor : Mohammed-Elamine Amoura;;PENALTY_GOAL;Elfmetertor;Mohammed-Elamine;Amoura;;;VfL Wolfsburg;opponent
4180;191;7;89;0;32;1033;1050;substitution_out | source:liveticker;Wechsel : Václav Černý => Andreas Skov Olsen;;SUBSTITUTION_OUT;Auswechslung;Andreas Skov;Olsen;Václav;Černý;VfL Wolfsburg;opponent
4181;191;6;89;0;32;1050;1033;substitution_in | source:liveticker;Wechsel : Václav Černý => Andreas Skov Olsen;;SUBSTITUTION_IN;Einwechslung;Václav;Černý;Andreas Skov;Olsen;VfL Wolfsburg;opponent
