lineup_id;match_id;team_id;player_id;is_starting;shirt_number;position
6470;191;15;1004;1;41;Torwart
6471;191;15;1005;1;2;
6472;191;15;1006;1;3;
6473;191;15;1007;1;4;
6474;191;15;1008;1;5;
6475;191;15;1009;1;6;
6476;191;15;1010;1;8;
6477;191;15;1011;1;11;
6478;191;15;1012;1;19;
6479;191;15;1013;1;22;
6480;191;15;1014;1;30;
6481;191;15;1015;0;1;Torwart
6482;191;15;1016;0;16;
6483;191;15;1017;0;17;
6484;191;15;1018;0;20;
6485;191;15;1019;0;21;
6486;191;15;1020;0;23;
6487;191;15;1021;0;28;
6488;191;15;1022;0;29;
6489;191;15;1023;0;38;
6569;193;15;1012;1;19;
6570;193;15;1018;1;20;
6571;193;15;1013;1;22;
6572;193;15;1022;1;29;
6573;193;15;1014;1;30;
6574;193;15;1004;1;41;Torwart
6575;193;15;1005;1;2;
6576;193;15;1008;1;5;
6577;193;15;1009;1;6;
6578;193;15;1010;1;8;
6579;193;15;1017;1;17;
6580;193;15;1015;0;1;Torwart
6581;193;15;1006;0;3;
6582;193;15;1007;0;4;
6583;193;15;1011;0;11;
6584;193;15;1016;0;16;
6585;193;15;1019;0;21;
6586;193;15;1020;0;23;
6587;193;15;1059;0;31;
6588;193;15;1060;0;32;
7189;209;15;1004;1;41;Torwart
7190;209;15;1006;1;3;
7191;209;15;1008;1;5;
7192;209;15;1009;1;6;
7193;209;15;1011;1;11;
7194;209;15;1017;1;17;
7195;209;15;1018;1;20;
7196;209;15;1019;1;21;
7197;209;15;1013;1;22;
7198;209;15;1020;1;23;
7199;209;15;1060;1;32;
7200;209;15;1015;0;1;Torwart
7201;209;15;1005;0;2;
7202;209;15;1007;0;4;
7203;209;15;1138;0;9;
7204;209;15;1016;0;16;
7205;209;15;1012;0;19;
7206;209;15;1022;0;29;
7207;209;15;1014;0;30;
7208;209;15;1059;0;31;
7568;218;15;1013;1;22;
7569;218;15;1020;1;23;
7570;218;15;1022;1;29;
7571;218;15;1014;1;30;
7572;218;15;1059;1;31;
7573;218;15;1004;1;41;Torwart
7574;218;15;1006;1;3;
7575;218;15;1008;1;5;
7576;218;15;1009;1;6;
7577;218;15;1012;1;19;
7578;218;15;1018;1;20;
7579;218;15;1015;0;1;Torwart
7580;218;15;1005;0;2;
7581;218;15;1007;0;4;
7582;218;15;1138;0;9;
7583;218;15;1016;0;16;
7584;218;15;1019;0;21;
7585;218;15;1021;0;28;
7586;218;15;1155;0;33;
7587;218;15;1023;0;38;
7867;226;15;1004;1;41;Torwart
7868;226;15;1006;1;3;
7869;226;15;1007;1;4;
7870;226;15;1009;1;6;
7871;226;15;1016;1;16;
7872;226;15;1012;1;19;
7873;226;15;1013;1;22;
7874;226;15;1020;1;23;
7875;226;15;1022;1;29;
7876;226;15;1014;1;30;
7877;226;15;1059;1;31;
7878;226;15;1015;0;1;Torwart
7879;226;15;1005;0;2;
7880;226;15;1008;0;5;
7881;226;15;1018;0;20;
7882;226;15;1019;0;21;
7883;226;15;1021;0;28;
7884;226;15;1155;0;33;
7885;226;15;1191;0;37;
7886;226;15;1023;0;38;
8127;232;15;1018;1;20;
8128;232;15;1013;1;22;
8129;232;15;1020;1;23;
8130;232;15;1022;1;29;
8131;232;15;1014;1;30;
8132;232;15;1004;1;41;Torwart
8133;232;15;1006;1;3;
8134;232;15;1007;1;4;
8135;232;15;1009;1;6;
8136;232;15;1016;1;16;
8137;232;15;1012;1;19;
8138;232;15;1015;0;1;Torwart
8139;232;15;1005;0;2;
8140;232;15;1008;0;5;
8141;232;15;1138;0;9;
8142;232;15;1197;0;27;
8143;232;15;1021;0;28;
8144;232;15;1155;0;33;
8145;232;15;1191;0;37;
8146;232;15;1023;0;38;
8587;244;15;1004;1;41;Torwart
8588;244;15;1006;1;3;
8589;244;15;1007;1;4;
8590;244;15;1009;1;6;
8591;244;15;1011;1;11;
8592;244;15;1012;1;19;
8593;244;15;1019;1;21;
8594;244;15;1013;1;22;
8595;244;15;1020;1;23;
8596;244;15;1022;1;29;
8597;244;15;1014;1;30;
8598;244;15;1015;0;1;Torwart
8599;244;15;1005;0;2;
8600;244;15;1008;0;5;
8601;244;15;1138;0;9;
8602;244;15;1016;0;16;
8603;244;15;1017;0;17;
8604;244;15;1232;0;18;
8605;244;15;1018;0;20;
8606;244;15;1021;0;28;
8927;253;15;1012;1;19;
8928;253;15;1019;1;21;
8929;253;15;1013;1;22;
8930;253;15;1020;1;23;
8931;253;15;1014;1;30;
8932;253;15;1004;1;41;Torwart
8933;253;15;1006;1;3;
8934;253;15;1007;1;4;
8935;253;15;1008;1;5;
8936;253;15;1009;1;6;
8937;253;15;1011;1;11;
8938;253;15;1015;0;1;Torwart
8939;253;15;1005;0;2;
8940;253;15;1138;0;9;
8941;253;15;1016;0;16;
8942;253;15;1017;0;17;
8943;253;15;1232;0;18;
8944;253;15;1018;0;20;
8945;253;15;1197;0;27;
8946;253;15;1021;0;28;
9267;262;15;1004;1;41;Torwart
9268;262;15;1005;1;2;
9269;262;15;1006;1;3;
9270;262;15;1007;1;4;
9271;262;15;1009;1;6;
9272;262;15;1138;1;9;
9273;262;15;1011;1;11;
9274;262;15;1016;1;16;
9275;262;15;1017;1;17;
9276;262;15;1012;1;19;
9277;262;15;1013;1;22;
9278;262;15;1015;0;1;Torwart
9279;262;15;1008;0;5;
9280;262;15;1232;0;18;
9281;262;15;1018;0;20;
9282;262;15;1019;0;21;
9283;262;15;1020;0;23;
9284;262;15;1197;0;27;
9285;262;15;1021;0;28;
9286;262;15;1014;0;30;
