match_id;competition_id;season_id;league_id;matchday;match_date;kickoff_time;home_team_id;away_team_id;stadium_id;referee_id;attendance;home_goals;away_goals;status;detail_imported;notes;external_id;home_team_name;away_team_name;selected_team_role;opponent_name
191;2;1;2;1;2025-08-23;15:30;15;32;35;;;1;3;finished;1;"Halbzeit: 1:1
Spielstätte: Rasenplatz, Voith-Arena, Heeracker, 89522 Heidenheim an der Brenz
fussball.de: https://www.fussball.de/spiel/1-fc-heidenheim-1846-vfl-wolfsburg/-/spiel/02TKDR1RCK000000VS5489BUVUD1610F";02TKDR1RCK000000VS5489BUVUD1610F;1. FC Heidenheim 1846;VfL Wolfsburg;home;VfL Wolfsburg
193;2;1;2;2;2025-08-30;15:30;27;15;37;;;2;0;finished;1;"Halbzeit: 0:0
Spielstätte: Rasenplatz, Red Bull Arena, Am Sportforum 2, 04105 Leipzig
fussball.de: https://www.fussball.de/spiel/rb-leipzig-1-fc-heidenheim-1846/-/spiel/02TKDR1RFS000000VS5489BUVUD1610F";02TKDR1RFS000000VS5489BUVUD1610F;RB Leipzig;1. FC Heidenheim 1846;away;RB Leipzig
209;2;1;2;3;2025-09-13;15:30;15;20;35;13;;0;2;finished;1;"Halbzeit: 0:2
Spielstätte: Rasenplatz, Voith-Arena, Heeracker, 89522 Heidenheim an der Brenz
Schiedsrichter: Christian Dietz
fussball.de: https://www.fussball.de/spiel/1-fc-heidenheim-1846-borussia-dortmund/-/spiel/02TKDR1SA8000000VS5489BUVUD1610F";02TKDR1SA8000000VS5489BUVUD1610F;1. FC Heidenheim 1846;Borussia Dortmund;home;Borussia Dortmund
218;2;1;2;4;2025-09-20;15:30;26;15;44;;;2;1;finished;1;"Halbzeit: 1:0
Spielstätte: Rasenplatz, Volksparkstadion, Uwe Seeler Allee 9, 22525 Hamburg
fussball.de: https://www.fussball.de/spiel/hamburger-sv-1-fc-heidenheim-1846/-/spiel/02TKDR1SQS000000VS5489BUVUD1610F";02TKDR1SQS000000VS5489BUVUD1610F;Hamburger SV;1. FC Heidenheim 1846;away;Hamburger SV
226;2;1;2;5;2025-09-27;15:30;15;23;35;;;2;1;finished;1;"Halbzeit: 0:0
Spielstätte: Rasenplatz, Voith-Arena, Heeracker, 89522 Heidenheim an der Brenz
fussball.de: https://www.fussball.de/spiel/1-fc-heidenheim-1846-fc-augsburg/-/spiel/02TKDR1TAC000000VS5489BUVUD1610F";02TKDR1TAC000000VS5489BUVUD1610F;1. FC Heidenheim 1846;FC Augsburg;home;FC Augsburg
232;2;1;2;6;2025-10-05;15:30;31;15;39;;;1;0;finished;1;"Halbzeit: 0:0
Spielstätte: Rasenplatz, MHPArena, Mercedesstr. 87, 70372 Stuttgart
fussball.de: https://www.fussball.de/spiel/vfb-stuttgart-1-fc-heidenheim-1846/-/spiel/02TKDR1TM0000000VS5489BUVUD1610F";02TKDR1TM0000000VS5489BUVUD1610F;VfB Stuttgart;1. FC Heidenheim 1846;away;VfB Stuttgart
244;2;1;2;7;2025-10-18;15:30;15;29;35;;;2;2;finished;1;"Halbzeit: 0:0
Spielstätte: Rasenplatz, Voith-Arena, Heeracker, 89522 Heidenheim an der Brenz
fussball.de: https://www.fussball.de/spiel/1-fc-heidenheim-1846-sv-werder-bremen/-/spiel/02TKDR1UEO000000VS5489BUVUD1610F";02TKDR1UEO000000VS5489BUVUD1610F;1. FC Heidenheim 1846;SV Werder Bremen;home;SV Werder Bremen
253;2;1;2;8;2025-10-25;15:30;30;15;42;;;3;1;finished;1;"Halbzeit: 2:0
Spielstätte: Rasenplatz, SNP Arena, Dietmar-Hopp-Straße 1, 74889 Sinsheim
fussball.de: https://www.fussball.de/spiel/tsg-hoffenheim-1-fc-heidenheim-1846/-/spiel/02TKDR1V1G000000VS5489BUVUD1610F";02TKDR1V1G000000VS5489BUVUD1610F;TSG Hoffenheim;1. FC Heidenheim 1846;away;TSG Hoffenheim
262;2;1;2;9;2025-11-01;15:30;15;22;35;;;1;1;finished;1;"Halbzeit: 1:0
Spielstätte: Rasenplatz, Voith-Arena, Heeracker, 89522 Heidenheim an der Brenz
fussball.de: https://www.fussball.de/spiel/1-fc-heidenheim-1846-eintracht-frankfurt/-/spiel/02TKDR1VL8000000VS5489BUVUD1610F";02TKDR1VL8000000VS5489BUVUD1610F;1. FC Heidenheim 1846;Eintracht Frankfurt;home;Eintracht Frankfurt
264;2;1;2;10;2025-11-08;15:30;19;15;28;;;6;0;finished;1;"Halbzeit: 5:0
Spielstätte: Rasenplatz, BayArena, Bismarckstr. 122-124, 51373 Leverkusen
fussball.de: https://www.fussball.de/spiel/bayer-04-leverkusen-1-fc-heidenheim-1846/-/spiel/02TKDR1VPS000000VS5489BUVUD1610F";02TKDR1VPS000000VS5489BUVUD1610F;Bayer 04 Leverkusen;1. FC Heidenheim 1846;away;Bayer 04 Leverkusen
