player_match_stat_id;match_id;team_id;player_id;is_starting;was_substituted_in;was_substituted_out;minute_in;minute_out;minutes_played;goals;own_goals;assists;yellow_cards;yellow_red_cards;red_cards;clean_sheet;shirt_number;position;created_at;updated_at
24851;191;15;1005;1;0;0;0;90;90;0;0;0;0;0;0;0;2;;2026-08-29 09:22:36;2026-08-29 09:22:36
24852;191;15;1006;1;0;0;0;90;90;0;0;0;0;0;0;0;3;;2026-08-29 09:22:36;2026-08-29 09:22:36
24853;191;15;1007;1;0;1;0;78;78;0;0;0;0;0;0;0;4;;2026-08-29 09:22:36;2026-08-29 09:22:36
24854;191;15;1008;1;0;0;0;90;90;0;0;0;0;0;0;0;5;;2026-08-29 09:22:36;2026-08-29 09:22:36
24855;191;15;1009;1;0;0;0;90;90;0;0;0;0;0;0;0;6;;2026-08-29 09:22:36;2026-08-29 09:22:36
24856;191;15;1010;1;0;0;0;90;90;1;0;0;0;0;0;0;8;;2026-08-29 09:22:36;2026-08-29 09:22:36
24857;191;15;1011;1;0;1;0;71;71;0;0;0;0;0;0;0;11;;2026-08-29 09:22:36;2026-08-29 09:22:36
24858;191;15;1012;1;0;0;0;90;90;0;0;0;0;0;0;0;19;;2026-08-29 09:22:36;2026-08-29 09:22:36
24859;191;15;1013;1;0;1;0;71;71;0;0;0;0;0;0;0;22;;2026-08-29 09:22:36;2026-08-29 09:22:36
24860;191;15;1014;1;0;1;0;62;62;0;0;0;0;0;0;0;30;;2026-08-29 09:22:36;2026-08-29 09:22:36
24861;191;15;1004;1;0;0;0;90;90;0;0;0;1;0;0;0;41;Torwart;2026-08-29 09:22:36;2026-08-29 09:22:36
24862;191;15;1015;0;0;0;;;0;0;0;0;0;0;0;0;1;Torwart;2026-08-29 09:22:36;2026-08-29 09:22:36
24863;191;15;1016;0;0;0;;;0;0;0;0;0;0;0;0;16;;2026-08-29 09:22:36;2026-08-29 09:22:36
24864;191;15;1017;0;1;0;71;90;19;0;0;0;0;0;0;0;17;;2026-08-29 09:22:36;2026-08-29 09:22:36
24865;191;15;1018;0;1;0;62;90;28;0;0;0;0;0;0;0;20;;2026-08-29 09:22:36;2026-08-29 09:22:36
24866;191;15;1019;0;1;0;78;90;12;0;0;0;0;0;0;0;21;;2026-08-29 09:22:36;2026-08-29 09:22:36
24867;191;15;1020;0;0;0;;;0;0;0;0;0;0;0;0;23;;2026-08-29 09:22:36;2026-08-29 09:22:36
24868;191;15;1021;0;0;0;;;0;0;0;0;0;0;0;0;28;;2026-08-29 09:22:36;2026-08-29 09:22:36
24869;191;15;1022;0;1;0;71;90;19;0;0;0;0;0;0;0;29;;2026-08-29 09:22:36;2026-08-29 09:22:36
24870;191;15;1023;0;0;0;;;0;0;0;0;0;0;0;0;38;;2026-08-29 09:22:36;2026-08-29 09:22:36
