event_id;match_id;event_type_id;minute;second;team_id;player_id;related_player_id;value;notes;external_id;event_type_code;event_type_name;player_first_name;player_last_name;related_player_first_name;related_player_last_name;event_team_name;relation_to_selected_team
90;5;1;16;0;3;161;;source:liveticker | 0:1;Tor durch Sascha Kraus (18);;GOAL;Tor;Sascha;Kraus;;;FSG Ehrang-Pfalzel;own
89;5;1;31;0;1;;;source:liveticker | 1:1;Tor für DJK Pluwig-Gusterath;;GOAL;Tor;;;;;DJK Pluwig-Gusterath;opponent
88;5;1;32;0;1;148;;source:liveticker | 2:1;Tor durch Nico Denzer (11);;GOAL;Tor;Nico;Denzer;;;DJK Pluwig-Gusterath;opponent
87;5;1;58;0;1;144;;source:liveticker | 3:1;Tor durch Peter Welter (3);;GOAL;Tor;Peter;Welter;;;DJK Pluwig-Gusterath;opponent
86;5;1;60;0;1;148;;source:liveticker | 4:1;Tor durch Nico Denzer (11);;GOAL;Tor;Nico;Denzer;;;DJK Pluwig-Gusterath;opponent
85;5;1;62;0;1;175;;source:liveticker | 5:1;Tor durch Julian Müller (6);;GOAL;Tor;Julian;Müller;;;DJK Pluwig-Gusterath;opponent
83;5;7;66;0;3;162;172;substitution_out | source:liveticker;Nikolai Smirnov (16) für Sem Luca Schneider (19);;SUBSTITUTION_OUT;Auswechslung;Sem Luca;Schneider;Nikolai;Smirnov;FSG Ehrang-Pfalzel;own
84;5;6;66;0;3;172;162;substitution_in | source:liveticker;Nikolai Smirnov (16) für Sem Luca Schneider (19);;SUBSTITUTION_IN;Einwechslung;Nikolai;Smirnov;Sem Luca;Schneider;FSG Ehrang-Pfalzel;own
81;5;7;77;0;1;148;155;substitution_out | source:liveticker;Christian Guth (9) für Nico Denzer (11);;SUBSTITUTION_OUT;Auswechslung;Nico;Denzer;Christian;Guth;DJK Pluwig-Gusterath;opponent
82;5;6;77;0;1;155;148;substitution_in | source:liveticker;Christian Guth (9) für Nico Denzer (11);;SUBSTITUTION_IN;Einwechslung;Christian;Guth;Nico;Denzer;DJK Pluwig-Gusterath;opponent
80;5;1;90;0;3;166;;source:liveticker | 5:2;Tor durch Florian Mertes (5);;GOAL;Tor;Florian;Mertes;;;FSG Ehrang-Pfalzel;own
190;10;3;41;0;3;;;yellow;Gelbe Karte 41’;;YELLOW_CARD;Gelbe Karte;;;;;FSG Ehrang-Pfalzel;own
191;10;1;42;0;3;161;;goal;;;GOAL;Tor;Sascha;Kraus;;;FSG Ehrang-Pfalzel;own
192;10;7;57;0;3;167;162;substitution_out;;;SUBSTITUTION_OUT;Auswechslung;Rene;Jahn;Sem Luca;Schneider;FSG Ehrang-Pfalzel;own
193;10;6;57;0;3;162;167;substitution_in;;;SUBSTITUTION_IN;Einwechslung;Sem Luca;Schneider;Rene;Jahn;FSG Ehrang-Pfalzel;own
194;10;7;61;0;12;187;195;substitution_out;;;SUBSTITUTION_OUT;Auswechslung;Alexander;Wenzel;Louis;Schmitt;TuS Mosella Schweich II;opponent
195;10;6;61;0;12;195;187;substitution_in;;;SUBSTITUTION_IN;Einwechslung;Louis;Schmitt;Alexander;Wenzel;TuS Mosella Schweich II;opponent
196;10;3;62;0;3;;;yellow;Gelbe Karte 62’;;YELLOW_CARD;Gelbe Karte;;;;;FSG Ehrang-Pfalzel;own
197;10;8;71;0;12;193;;penalty_goal;;;PENALTY_GOAL;Elfmetertor;Lennart;Wirz;;;TuS Mosella Schweich II;opponent
198;10;1;72;0;3;168;;goal;;;GOAL;Tor;Andreas;Huwer;;;FSG Ehrang-Pfalzel;own
199;10;7;74;0;3;264;160;substitution_out;;;SUBSTITUTION_OUT;Auswechslung;Finn;Konrad;Rene;Schwarz;FSG Ehrang-Pfalzel;own
200;10;6;74;0;3;160;264;substitution_in;;;SUBSTITUTION_IN;Einwechslung;Rene;Schwarz;Finn;Konrad;FSG Ehrang-Pfalzel;own
201;10;7;77;0;3;263;172;substitution_out;;;SUBSTITUTION_OUT;Auswechslung;Janik;Lerch;Nikolai;Smirnov;FSG Ehrang-Pfalzel;own
202;10;6;77;0;3;172;263;substitution_in;;;SUBSTITUTION_IN;Einwechslung;Nikolai;Smirnov;Janik;Lerch;FSG Ehrang-Pfalzel;own
203;10;3;81;0;3;;;yellow;Gelbe Karte 81’;;YELLOW_CARD;Gelbe Karte;;;;;FSG Ehrang-Pfalzel;own
204;10;7;82;0;3;176;158;substitution_out;;;SUBSTITUTION_OUT;Auswechslung;Jason;Pütz;Felix;Mertes;FSG Ehrang-Pfalzel;own
205;10;6;82;0;3;158;176;substitution_in;;;SUBSTITUTION_IN;Einwechslung;Felix;Mertes;Jason;Pütz;FSG Ehrang-Pfalzel;own
206;10;7;85;0;3;164;265;substitution_out;;;SUBSTITUTION_OUT;Auswechslung;Oliver;Mertes;Thorsten;Lauterbach;FSG Ehrang-Pfalzel;own
207;10;6;85;0;3;265;164;substitution_in;;;SUBSTITUTION_IN;Einwechslung;Thorsten;Lauterbach;Oliver;Mertes;FSG Ehrang-Pfalzel;own
208;10;1;90;0;3;161;;goal;;;GOAL;Tor;Sascha;Kraus;;;FSG Ehrang-Pfalzel;own
430;21;1;6;0;3;166;;goal;;;GOAL;Tor;Florian;Mertes;;;FSG Ehrang-Pfalzel;own
431;21;1;10;0;7;227;;goal;;;GOAL;Tor;Niclas;Philippi;;;SG Niederkell Waldweiler;opponent
432;21;7;45;0;7;225;220;substitution_out;;;SUBSTITUTION_OUT;Auswechslung;Noah;Sutter;Dennis;Winthang;SG Niederkell Waldweiler;opponent
433;21;6;45;0;7;220;225;substitution_in;;;SUBSTITUTION_IN;Einwechslung;Dennis;Winthang;Noah;Sutter;SG Niederkell Waldweiler;opponent
434;21;7;45;0;3;169;170;substitution_out;;;SUBSTITUTION_OUT;Auswechslung;Malte;Werdermann;Julien;Masselot;FSG Ehrang-Pfalzel;own
435;21;6;45;0;3;170;169;substitution_in;;;SUBSTITUTION_IN;Einwechslung;Julien;Masselot;Malte;Werdermann;FSG Ehrang-Pfalzel;own
436;21;3;48;0;3;;;yellow;48’ Gelbe Karte;;YELLOW_CARD;Gelbe Karte;;;;;FSG Ehrang-Pfalzel;own
437;21;1;50;0;3;263;;goal;;;GOAL;Tor;Janik;Lerch;;;FSG Ehrang-Pfalzel;own
438;21;7;56;0;3;161;172;substitution_out;;;SUBSTITUTION_OUT;Auswechslung;Sascha;Kraus;Nikolai;Smirnov;FSG Ehrang-Pfalzel;own
439;21;6;56;0;3;172;161;substitution_in;;;SUBSTITUTION_IN;Einwechslung;Nikolai;Smirnov;Sascha;Kraus;FSG Ehrang-Pfalzel;own
440;21;3;58;0;3;;;yellow;58’ Gelbe Karte;;YELLOW_CARD;Gelbe Karte;;;;;FSG Ehrang-Pfalzel;own
441;21;7;63;0;7;226;323;substitution_out;;;SUBSTITUTION_OUT;Auswechslung;Phil;Schmitt;Johannes;Engler;SG Niederkell Waldweiler;opponent
442;21;6;63;0;7;323;226;substitution_in;;;SUBSTITUTION_IN;Einwechslung;Johannes;Engler;Phil;Schmitt;SG Niederkell Waldweiler;opponent
443;21;7;63;0;7;219;214;substitution_out;;;SUBSTITUTION_OUT;Auswechslung;Jannik;Steuer;Niklas;Becker;SG Niederkell Waldweiler;opponent
444;21;6;63;0;7;214;219;substitution_in;;;SUBSTITUTION_IN;Einwechslung;Niklas;Becker;Jannik;Steuer;SG Niederkell Waldweiler;opponent
445;21;7;63;0;7;323;216;substitution_out;;;SUBSTITUTION_OUT;Auswechslung;Johannes;Engler;Lukas;Rausch;SG Niederkell Waldweiler;opponent
446;21;6;63;0;7;216;323;substitution_in;;;SUBSTITUTION_IN;Einwechslung;Lukas;Rausch;Johannes;Engler;SG Niederkell Waldweiler;opponent
447;21;1;65;0;7;217;;goal;;;GOAL;Tor;Jannik;Klas;;;SG Niederkell Waldweiler;opponent
448;21;3;70;0;3;;;yellow;70’ Gelbe Karte;;YELLOW_CARD;Gelbe Karte;;;;;FSG Ehrang-Pfalzel;own
449;21;1;73;0;7;217;;goal;;;GOAL;Tor;Jannik;Klas;;;SG Niederkell Waldweiler;opponent
450;21;7;75;0;3;164;158;substitution_out;;;SUBSTITUTION_OUT;Auswechslung;Oliver;Mertes;Felix;Mertes;FSG Ehrang-Pfalzel;own
451;21;6;75;0;3;158;164;substitution_in;;;SUBSTITUTION_IN;Einwechslung;Felix;Mertes;Oliver;Mertes;FSG Ehrang-Pfalzel;own
452;21;3;77;0;3;;;yellow;77’ Gelbe Karte;;YELLOW_CARD;Gelbe Karte;;;;;FSG Ehrang-Pfalzel;own
453;21;7;84;0;3;166;324;substitution_out;;;SUBSTITUTION_OUT;Auswechslung;Florian;Mertes;Elia;Monzel;FSG Ehrang-Pfalzel;own
454;21;6;84;0;3;324;166;substitution_in;;;SUBSTITUTION_IN;Einwechslung;Elia;Monzel;Florian;Mertes;FSG Ehrang-Pfalzel;own
455;21;7;86;0;7;217;383;substitution_out;;;SUBSTITUTION_OUT;Auswechslung;Jannik;Klas;Jannik;Schömer;SG Niederkell Waldweiler;opponent
456;21;6;86;0;7;383;217;substitution_in;;;SUBSTITUTION_IN;Einwechslung;Jannik;Schömer;Jannik;Klas;SG Niederkell Waldweiler;opponent
457;21;1;89;0;7;383;;goal;;;GOAL;Tor;Jannik;Schömer;;;SG Niederkell Waldweiler;opponent
492;24;7;2;0;14;299;198;substitution_out;;;SUBSTITUTION_OUT;Auswechslung;Till;Wollenweber;Finn Luca;Simon;VfL Trier;opponent
493;24;6;2;0;14;198;299;substitution_in;;;SUBSTITUTION_IN;Einwechslung;Finn Luca;Simon;Till;Wollenweber;VfL Trier;opponent
494;24;1;2;0;3;168;;goal;;;GOAL;Tor;Andreas;Huwer;;;FSG Ehrang-Pfalzel;own
495;24;1;12;0;14;204;;goal;;;GOAL;Tor;Matheus;Ramos Maciel;;;VfL Trier;opponent
496;24;3;25;0;14;;;yellow;25’ Gelbe Karte;;YELLOW_CARD;Gelbe Karte;;;;;VfL Trier;opponent
497;24;1;26;0;14;199;;goal;;;GOAL;Tor;Elias;Blasius;;;VfL Trier;opponent
498;24;1;31;0;3;168;;goal;;;GOAL;Tor;Andreas;Huwer;;;FSG Ehrang-Pfalzel;own
499;24;7;32;0;3;167;171;substitution_out;;;SUBSTITUTION_OUT;Auswechslung;Rene;Jahn;Patrick;Mertes;FSG Ehrang-Pfalzel;own
500;24;6;32;0;3;171;167;substitution_in;;;SUBSTITUTION_IN;Einwechslung;Patrick;Mertes;Rene;Jahn;FSG Ehrang-Pfalzel;own
501;24;3;50;0;14;;;yellow;50’ Gelbe Karte;;YELLOW_CARD;Gelbe Karte;;;;;VfL Trier;opponent
502;24;7;55;0;3;172;265;substitution_out;;;SUBSTITUTION_OUT;Auswechslung;Nikolai;Smirnov;Thorsten;Lauterbach;FSG Ehrang-Pfalzel;own
503;24;6;55;0;3;265;172;substitution_in;;;SUBSTITUTION_IN;Einwechslung;Thorsten;Lauterbach;Nikolai;Smirnov;FSG Ehrang-Pfalzel;own
504;24;4;55;0;14;;;red;55’ Rote Karte;;RED_CARD;Rote Karte;;;;;VfL Trier;opponent
505;24;3;57;0;3;;;yellow;Gelbe Karte 57’;;YELLOW_CARD;Gelbe Karte;;;;;FSG Ehrang-Pfalzel;own
506;24;7;61;0;14;260;259;substitution_out;;;SUBSTITUTION_OUT;Auswechslung;Aniel;Oliveira;Joshua;Nauert;VfL Trier;opponent
507;24;6;61;0;14;259;260;substitution_in;;;SUBSTITUTION_IN;Einwechslung;Joshua;Nauert;Aniel;Oliveira;VfL Trier;opponent
508;24;1;63;0;14;199;;goal;;;GOAL;Tor;Elias;Blasius;;;VfL Trier;opponent
509;24;7;64;0;3;264;160;substitution_out;;;SUBSTITUTION_OUT;Auswechslung;Finn;Konrad;Rene;Schwarz;FSG Ehrang-Pfalzel;own
510;24;6;64;0;3;160;264;substitution_in;;;SUBSTITUTION_IN;Einwechslung;Rene;Schwarz;Finn;Konrad;FSG Ehrang-Pfalzel;own
511;24;7;71;0;3;170;164;substitution_out;;;SUBSTITUTION_OUT;Auswechslung;Julien;Masselot;Oliver;Mertes;FSG Ehrang-Pfalzel;own
512;24;6;71;0;3;164;170;substitution_in;;;SUBSTITUTION_IN;Einwechslung;Oliver;Mertes;Julien;Masselot;FSG Ehrang-Pfalzel;own
513;24;3;78;0;14;;;yellow;78’ Gelbe Karte;;YELLOW_CARD;Gelbe Karte;;;;;VfL Trier;opponent
514;24;7;80;0;14;202;200;substitution_out;;;SUBSTITUTION_OUT;Auswechslung;Raul;Cosano Kreutzer;Jon Benedikt;Rollo;VfL Trier;opponent
515;24;6;80;0;14;200;202;substitution_in;;;SUBSTITUTION_IN;Einwechslung;Jon Benedikt;Rollo;Raul;Cosano Kreutzer;VfL Trier;opponent
516;24;7;83;0;14;197;332;substitution_out;;;SUBSTITUTION_OUT;Auswechslung;Simon;Beiser;Mats;Dahlmann;VfL Trier;opponent
517;24;6;83;0;14;332;197;substitution_in;;;SUBSTITUTION_IN;Einwechslung;Mats;Dahlmann;Simon;Beiser;VfL Trier;opponent
518;24;7;84;0;3;331;173;substitution_out;;;SUBSTITUTION_OUT;Auswechslung;Dylan Fritz;Ngoumnou Foffe;Marvin;Marvin;FSG Ehrang-Pfalzel;own
