lineup_id;match_id;team_id;player_id;is_starting;shirt_number;position
152;5;3;158;1;11;
153;5;3;176;1;14;
154;5;3;160;1;17;
155;5;3;161;1;18;
156;5;3;162;1;19;
157;5;3;163;1;1;Torwart
158;5;3;164;1;3;
159;5;3;165;1;4;
160;5;3;166;1;5;
161;5;3;167;1;8;
162;5;3;168;1;9;
163;5;3;169;0;2;
164;5;3;170;0;7;
165;5;3;171;0;15;
166;5;3;172;0;16;
167;5;3;173;0;20;
303;10;3;262;1;1;Torwart
304;10;3;169;1;2;
305;10;3;164;1;3;
306;10;3;165;1;4;
307;10;3;166;1;5;
308;10;3;167;1;8;
309;10;3;168;1;9;
310;10;3;263;1;10;
311;10;3;176;1;14;
312;10;3;161;1;18;
313;10;3;264;1;21;
314;10;3;265;0;6;
315;10;3;170;0;7;
316;10;3;158;0;11;
317;10;3;172;0;16;
318;10;3;160;0;17;
319;10;3;162;0;19;
700;21;3;263;1;10;
701;21;3;176;1;14;
702;21;3;161;1;18;
703;21;3;162;1;19;
704;21;3;264;1;21;
705;21;3;262;1;1;Torwart
706;21;3;169;1;2;
707;21;3;164;1;3;
708;21;3;165;1;4;
709;21;3;166;1;5;
710;21;3;168;1;9;
711;21;3;170;0;7;
712;21;3;158;0;11;
713;21;3;324;0;12;
714;21;3;172;0;16;
715;21;3;160;0;17;
716;21;3;325;0;22;
783;24;3;262;1;1;Torwart
784;24;3;165;1;4;
785;24;3;166;1;5;
786;24;3;170;1;7;
787;24;3;167;1;8;
788;24;3;168;1;9;
789;24;3;263;1;10;
790;24;3;331;1;12;
791;24;3;172;1;16;
792;24;3;161;1;18;
793;24;3;264;1;21;
794;24;3;325;0;22;Torwart
795;24;3;164;0;3;
796;24;3;265;0;6;
797;24;3;171;0;15;
798;24;3;160;0;17;
799;24;3;173;0;20;
974;29;3;176;1;14;
975;29;3;171;1;15;
976;29;3;172;1;16;
977;29;3;160;1;17;
978;29;3;264;1;21;
979;29;3;262;1;22;Torwart
980;29;3;331;1;2;
981;29;3;165;1;4;
982;29;3;166;1;5;
983;29;3;170;1;7;
984;29;3;263;1;10;
985;29;3;325;0;1;Torwart
986;29;3;265;0;9;
987;29;3;158;0;11;
988;29;3;324;0;12;
989;29;3;161;0;18;
990;29;3;162;0;19;
1311;39;3;263;1;10;
1312;39;3;331;1;12;
1313;39;3;171;1;15;
1314;39;3;160;1;17;
1315;39;3;161;1;18;
1316;39;3;262;1;1;Torwart
1317;39;3;162;1;2;
1318;39;3;165;1;4;
1319;39;3;166;1;5;
1320;39;3;265;1;6;
1321;39;3;168;1;9;
1322;39;3;325;0;22;Torwart
1323;39;3;164;0;3;
1324;39;3;158;0;11;
1325;39;3;172;0;16;
1326;39;3;365;0;19;
1327;39;3;264;0;21;
1500;45;3;262;1;1;Torwart
1501;45;3;162;1;2;
1502;45;3;166;1;5;
1503;45;3;265;1;6;
1504;45;3;168;1;9;
1505;45;3;158;1;11;
1506;45;3;331;1;12;
1507;45;3;176;1;14;
1508;45;3;171;1;15;
1509;45;3;161;1;18;
1510;45;3;365;1;19;
1511;45;3;325;0;22;Torwart
1512;45;3;164;0;3;
1513;45;3;170;0;7;
1514;45;3;172;0;16;
1515;45;3;264;0;21;
1854;55;3;331;1;12;
1855;55;3;176;1;14;
1856;55;3;171;1;15;
1857;55;3;161;1;18;
