event_id;match_id;event_type_id;minute;second;team_id;player_id;related_player_id;value;notes;external_id;event_type_code;event_type_name;player_first_name;player_last_name;related_player_first_name;related_player_last_name;event_team_name;relation_to_selected_team
23052;31089;7;9;0;154;2903;2907;substitution_out;;;SUBSTITUTION_OUT;Auswechslung;Harder Ivan;Tafur Rodallega;Carlos;Linero;SG Rascheid II;opponent
23053;31089;6;9;0;154;2907;2903;substitution_in;;;SUBSTITUTION_IN;Einwechslung;Carlos;Linero;Harder Ivan;Tafur Rodallega;SG Rascheid II;opponent
23054;31089;1;14;0;3;169;;goal;;;GOAL;Tor;Malte;Werdermann;;;FSG Ehrang-Pfalzel;own
23055;31089;3;18;0;3;;;yellow;18’ Gelbe Karte;;YELLOW_CARD;Gelbe Karte;;;;;FSG Ehrang-Pfalzel;own
23056;31089;7;46;0;3;2910;2911;substitution_out;;;SUBSTITUTION_OUT;Auswechslung;Gianni Matteo;Sasso-Sant;Janne;Naber;FSG Ehrang-Pfalzel;own
23057;31089;6;46;0;3;2911;2910;substitution_in;;;SUBSTITUTION_IN;Einwechslung;Janne;Naber;Gianni Matteo;Sasso-Sant;FSG Ehrang-Pfalzel;own
23058;31089;3;47;0;154;;;yellow;Gelbe Karte 47’;;YELLOW_CARD;Gelbe Karte;;;;;SG Rascheid II;opponent
23059;31089;1;56;0;3;173;;goal;;;GOAL;Tor;Marvin;Marvin;;;FSG Ehrang-Pfalzel;own
23060;31089;7;61;0;3;173;168;substitution_out;;;SUBSTITUTION_OUT;Auswechslung;Marvin;Marvin;Andreas;Huwer;FSG Ehrang-Pfalzel;own
23061;31089;6;61;0;3;168;173;substitution_in;;;SUBSTITUTION_IN;Einwechslung;Andreas;Huwer;Marvin;Marvin;FSG Ehrang-Pfalzel;own
23062;31089;7;61;0;3;265;263;substitution_out;;;SUBSTITUTION_OUT;Auswechslung;Thorsten;Lauterbach;Janik;Lerch;FSG Ehrang-Pfalzel;own
23063;31089;6;61;0;3;263;265;substitution_in;;;SUBSTITUTION_IN;Einwechslung;Janik;Lerch;Thorsten;Lauterbach;FSG Ehrang-Pfalzel;own
23064;31089;1;62;0;3;176;;goal;;;GOAL;Tor;Jason;Pütz;;;FSG Ehrang-Pfalzel;own
23065;31089;7;70;0;3;167;2912;substitution_out;;;SUBSTITUTION_OUT;Auswechslung;Rene;Jahn;Pascal;Schmitt;FSG Ehrang-Pfalzel;own
23066;31089;6;70;0;3;2912;167;substitution_in;;;SUBSTITUTION_IN;Einwechslung;Pascal;Schmitt;Rene;Jahn;FSG Ehrang-Pfalzel;own
23067;31089;1;71;0;3;2912;;goal;;;GOAL;Tor;Pascal;Schmitt;;;FSG Ehrang-Pfalzel;own
23068;31089;7;73;0;3;176;2913;substitution_out;;;SUBSTITUTION_OUT;Auswechslung;Jason;Pütz;Philipp;Schmidt;FSG Ehrang-Pfalzel;own
23069;31089;6;73;0;3;2913;176;substitution_in;;;SUBSTITUTION_IN;Einwechslung;Philipp;Schmidt;Jason;Pütz;FSG Ehrang-Pfalzel;own
23070;31089;7;75;0;154;2901;2906;substitution_out;;;SUBSTITUTION_OUT;Auswechslung;Michael;Dziubany;Andres;Supelano;SG Rascheid II;opponent
23071;31089;6;75;0;154;2906;2901;substitution_in;;;SUBSTITUTION_IN;Einwechslung;Andres;Supelano;Michael;Dziubany;SG Rascheid II;opponent
23072;31089;7;78;0;154;2897;2908;substitution_out;;;SUBSTITUTION_OUT;Auswechslung;Tim;Emmerich;Mathis;Kolz;SG Rascheid II;opponent
23073;31089;6;78;0;154;2908;2897;substitution_in;;;SUBSTITUTION_IN;Einwechslung;Mathis;Kolz;Tim;Emmerich;SG Rascheid II;opponent
23074;31089;7;81;0;154;2900;2909;substitution_out;;;SUBSTITUTION_OUT;Auswechslung;Leon;Jutz;Johannes;Götten;SG Rascheid II;opponent
23075;31089;6;81;0;154;2909;2900;substitution_in;;;SUBSTITUTION_IN;Einwechslung;Johannes;Götten;Leon;Jutz;SG Rascheid II;opponent
23076;31089;1;85;0;3;170;;goal;;;GOAL;Tor;Julien;Masselot;;;FSG Ehrang-Pfalzel;own
23077;31089;1;88;0;3;263;;goal;;;GOAL;Tor;Janik;Lerch;;;FSG Ehrang-Pfalzel;own
23376;31102;1;16;0;3;168;;goal;;;GOAL;Tor;Andreas;Huwer;;;FSG Ehrang-Pfalzel;own
